numero compte;balance
94990661161;380067.19
11279608462;0
26676862959;1364292.49
55011098001;3693016.37
23622210572;0
59843494331;73918.33
28715073761;17969.9
79055851637;359669.6
63725645291;0
96260607021;25645.54
23143489334;4142942.03
31578030485;1298361.64
83063933748;0
40398673732;0
43890428664;5229495.45
38550368132;1256301.34
34410653959;0
59108137218;242586.3
26362692744;696.47
11328471773;8624641.07
74466347013;0
86804846644;805050.17
29854478491;0
76068946597;80862.28
55683151554;2824981.22
50967708987;762922.18
26290352823;352646.68
55696500580;0
43659774615;383622.23
95313113577;128015.69
94622588223;543511.65
56309919905;0
52143794897;0
65935352557;3902250.86
27462694844;577602.25
66085422925;197728.03
66741766683;667810.76
26041889202;0
70569559969;6314702.92
90563759054;1334492.34
78192439219;207486.83
60683600258;165851.48
89274004750;0
56171520851;0
49800354599;0
73898788275;61531.53
66421643115;0
70719566656;0
97240142106;2762687.29
27270825982;34814.62
84039082883;383288.81
62414847503;0
15168315966;3120225.14
71659364076;1820851.68
34624484121;0
25780280299;10092340.02
24947293339;900097.98
20297713446;49230.24
17530794526;0
91752508352;0
92129422931;453749.27
69918312053;664445.93
97430193015;0
46788534202;158059.78
67187165448;0
41081187025;8451616.98
36228551597;0
12010135150;60742.41
40958792397;0
95340254384;0
59802629245;0
83467151853;1336719.85
15379396298;0
74508598558;0
70310014421;1305850.2
97628429099;0
54978090907;535612.93
49868739713;3637268.34
90734349580;272432.04
52529240024;976138.63
17768125059;1306182.02
86919473572;0
51514484495;0
56210768115;240910.6
60578427755;454951.37
95927159795;0
76090117542;521520.17
58821923843;0
78334850167;2666573.93
18367007109;0
64403397283;2050261.7
47076377372;258722.26
41649502535;0
89421401484;2161578.36
57307339763;839554.77
87254618897;0
51715937474;98423.47
97641077739;0
42177998431;174559.68
28609826276;42536.93
54571321163;125949.4
79333574182;1077197.6
37480193797;400157.86
57813195744;102497.47
38465985316;1565402.25
60533943265;0
57478464901;0
73395141441;0
77857010802;16505148.78
89311603412;592863.28
55988560023;0
57246538161;1423293.69
81381919437;226933.37
83637200499;2162063.23
